Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
Copete Mallorca,0.4390243902439025,0.6400000000000001,0.345679012345679,0.1818181818181818,0.0416666666666666,0.0294117647058823,0.1428571428571428,0.2432432432432432,0.6862745098039216,0.0,0.4230769230769231,0.0,0.96,0.0,0.01,0.07,0.0,0.03,0.1,0.0
Dani Carvajal Real Madrid,0.3414634146341463,0.24,0.1851851851851852,0.0909090909090909,0.0625,0.2647058823529412,0.0571428571428571,0.1621621621621621,0.8333333333333333,0.0789473684210526,0.2435897435897436,0.0,0.58,0.01,0.08,0.26,0.0,0.58,0.98,0.0
Franco Cervi Celta Vigo,0.5365853658536587,0.4,0.0493827160493827,0.0,0.1458333333333333,0.2058823529411764,0.1428571428571428,0.2972972972972972,0.6549019607843136,0.1052631578947368,0.0641025641025641,0.0,0.01,0.25,0.21,0.29,0.32,0.63,0.52,0.07
Iván Sánchez Real Valladolid,0.2195121951219512,0.12,0.0246913580246913,0.0,0.1666666666666666,0.1764705882352941,0.3714285714285714,0.4324324324324324,0.7843137254901962,0.1052631578947368,0.1153846153846154,0.0,0.02,0.18,0.21,0.01,0.71,0.02,0.02,0.87
Jaume Costa Mallorca,0.3902439024390244,0.2,0.1481481481481481,0.0454545454545454,0.1041666666666666,0.2941176470588235,0.0857142857142857,0.3243243243243243,0.6196078431372549,0.2368421052631578,0.1794871794871795,0.0,0.08,0.02,0.24,0.11,0.0,0.9,0.97,0.0
Rubén Sánchez Espanyol,0.4390243902439025,0.4,0.1111111111111111,0.1363636363636363,0.1041666666666666,0.1470588235294117,0.2285714285714285,0.1081081081081081,0.6705882352941175,0.0789473684210526,0.0769230769230769,0.0,0.07,0.05,0.29,0.07,0.0,0.75,0.88,0.0
Axel Witsel Atletico,0.1951219512195122,0.2799999999999999,0.2469135802469136,0.1363636363636363,0.0625,0.0588235294117647,0.0571428571428571,0.1081081081081081,0.9568627450980391,0.0,0.1153846153846154,0.0,0.7,0.0,0.11,0.41,0.0,0.2,0.67,0.0
Ferran Torres Barcelona,0.0975609756097561,0.04,0.0246913580246913,0.0,0.2916666666666667,0.2647058823529412,0.3714285714285714,0.2432432432432432,0.7254901960784315,0.1578947368421052,0.0641025641025641,0.0,0.0,0.84,0.31,0.0,0.63,0.01,0.01,0.97
Ansu Fati Barcelona,0.1219512195121951,0.04,0.0246913580246913,0.0,0.375,0.1176470588235294,0.1999999999999999,0.1081081081081081,0.8019607843137253,0.0263157894736842,0.0384615384615384,0.0,0.0,0.85,0.11,0.0,0.54,0.02,0.0,0.72
Damián Suárez Getafe,0.4390243902439025,0.24,0.1358024691358025,0.0,0.0208333333333333,0.2647058823529412,0.0857142857142857,0.1081081081081081,0.496078431372549,0.1578947368421052,0.2307692307692308,0.0,0.19,0.12,0.42,0.11,0.03,0.57,0.84,0.01
Fernando Sevilla,0.3658536585365854,0.52,0.1851851851851852,0.2272727272727272,0.0625,0.088235294117647,0.0285714285714285,0.1351351351351351,0.8980392156862744,0.0,0.3333333333333333,0.0,0.81,0.0,0.01,0.43,0.0,0.05,0.45,0.0
Manu Sánchez Osasuna,0.3658536585365854,0.24,0.1481481481481481,0.0909090909090909,0.0625,0.2352941176470588,0.0857142857142857,0.1081081081081081,0.7666666666666666,0.2368421052631578,0.1153846153846154,0.0,0.11,0.01,0.22,0.11,0.0,0.84,0.95,0.0
