Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"143Deiver MachadoLens, 29, M(L)","Deiver Machado Lens, 29, M(L)",1,0.5,20.5,85.4,0.5,0.4,-,6.68,19(7),1713.0
"144Arthur TheateRennes, 22, D(C)","Arthur Theate Rennes, 22, D(C)",-,0.3,73.3,90.2,-,3.9,-,6.65,28,2513.0
"145Kevin GameiroStrasbourg, 35, FW","Kevin Gameiro Strasbourg, 35, FW",-,0.9,24.5,79.9,0.3,0.3,0.2,6.65,22(4),1875.0
"146Issiaga SyllaToulouse, 29, D(LR),M(L)","Issiaga Sylla Toulouse, 29, D(LR),M(L)",-,0.4,38.3,78.8,0.2,0.9,-,6.65,16(1),1376.0
"147Anthony LopesLyon, 32, GK","Anthony Lopes Lyon, 32, GK",-,-,24.8,74.6,-,4.7,-,6.65,23,2007.0
"148Zakaria AboukhlalToulouse, 23, AM(LR)","Zakaria Aboukhlal Toulouse, 23, AM(LR)",5,0.6,19.7,73.7,0.1,0.1,-,6.65,24(5),2062.0
"149Farès ChaïbiToulouse, 20, AM(L)","Farès Chaïbi Toulouse, 20, AM(L)",4,0.8,24.3,76.6,0.1,1.2,0.1,6.65,18(9),1747.0
"150Marco BizotBrest, 32, GK","Marco Bizot Brest, 32, GK",-,-,24.4,67.3,-,5.7,-,6.65,28,2520.0
"151Nicolas PalloisNantes, 35, D(C)","Nicolas Pallois Nantes, 35, D(C)",-,0.1,43.9,83.8,0.1,3.9,-,6.64,20,1710.0
"152Jackson PorozoTroyes, 22, D(C)","Jackson Porozo Troyes, 22, D(C)",-,0.1,29.9,82.1,-,1.2,-,6.64,16(3),1472.0
"153Jérémy Le DouaronBrest, 24, AM(L),FW","Jérémy Le Douaron Brest, 24, AM(L),FW",2,0.4,9.9,71.9,0.1,-,-,6.64,15(8),1367.0
"154André GomesLille, 29, M(CLR)","André Gomes Lille, 29, M(CLR)",2,0.7,46.8,87.3,0.1,2.2,0.1,6.64,13(7),1209.0
"155Mattéo GuendouziMarseille, 23, M(C)","Mattéo Guendouzi Marseille, 23, M(C)",3,0.6,37.7,88.4,0.1,2.1,-,6.64,21(6),1777.0
"156Moses SimonNantes, 27, M(CLR),FW","Moses Simon Nantes, 27, M(CLR),FW",3,1.3,18.3,73.1,0.9,0.4,0.1,6.63,23(2),1888.0
"157VitinhaPSG, 23, M(C)","Vitinha PSG, 23, M(C)",1,0.6,53.3,92.1,-,1.4,0.1,6.63,22(5),1835.0
"158Anthony RouaultToulouse, 21, D(C)","Anthony Rouault Toulouse, 21, D(C)",-,0.2,54.4,86.8,-,3.5,-,6.63,29,2596.0
"159Nuno da CostaAuxerre, 32, AM(LR),FW","Nuno da Costa Auxerre, 32, AM(LR),FW",3,0.7,10.6,69.7,0.2,0.7,-,6.63,14(10),1376.0
"160Vincent Le GoffLorient, 33, D(L),M(L)","Vincent Le Goff Lorient, 33, D(L),M(L)",-,0.4,43.5,82.6,0.5,1.1,-,6.62,28,2520.0
"161Jens CajusteReims, 23, DMC","Jens Cajuste Reims, 23, DMC",1,0.4,21.7,80.5,-,1.4,-,6.62,9(14),1063.0
"162Mathias AutretAuxerre, 32, M(CLR)","Mathias Autret Auxerre, 32, M(CLR)",2,1.4,25.3,81.4,1,3.0,0.1,6.62,16(4),1272.0
"163Johann LepenantLyon, 20, DMC","Johann Lepenant Lyon, 20, DMC",1,0.3,46.3,89.6,-,2.1,-,6.61,18(6),1639.0
